id,GEOID,access,hoops,surface,lit,name,sport,leisure,city,lon,lat,neighborhood,income_q,LPA,median_household_income
way/913680090,13121011436,,1,,,,basketball,pitch,Atlanta,-84.31232835,33.99396075,,Q4 (highest),14.9,158226.0
way/913680091,13121011436,,1,,,,basketball,pitch,Atlanta,-84.3121867,33.9940619,,Q4 (highest),14.9,158226.0
way/914558757,13089021409,,,,,,basketball,pitch,Atlanta,-84.29536360601239,33.8605473757243,,Q2,28.5,75885.0
way/969892128,13121007603,,,,,,basketball,pitch,Atlanta,-84.43279700562036,33.7086402262362,Fort McPherson,Q1 (lowest),39.8,19375.0
way/970237361,13089021224,,2,,,,basketball,pitch,Atlanta,-84.3080638,33.926682899999996,,Q1 (lowest),18.8,56964.0
way/970237362,13089021224,,1,,,,basketball,pitch,Atlanta,-84.3082876,33.92656215,,Q1 (lowest),18.8,56964.0
way/970237363,13089021224,,1,,,,basketball,pitch,Atlanta,-84.30828824999999,33.92673335,,Q1 (lowest),18.8,56964.0
way/971399915,13121004400,,,,,,basketball,pitch,Atlanta,-84.4001684259077,33.7410944904204,Mechanicsville,Q1 (lowest),39.5,31075.0
way/971402581,13121003800,,,,,,basketball,pitch,Atlanta,-84.4066351,33.748349649999994,Atlanta University Center,nan,15.5,
way/973120487,13121008909,,,acrylic,no,,basketball,pitch,Atlanta,-84.41606452147276,33.805467942164235,Underwood Hills,Q4 (highest),11.7,133353.0
way/974173898,13121010601,,,,,,basketball,pitch,Atlanta,-84.45469996120464,33.65621778462219,,Q2,26.9,64844.0
way/976498887,13121011508,private,2,,,,basketball,pitch,Atlanta,-84.25967738501113,34.1684923752929,,Q4 (highest),12.8,250001.0
way/989224161,13121011508,private,,,,,basketball,pitch,Atlanta,-84.26780495,34.1670285,,Q4 (highest),12.8,250001.0
way/992576442,13121005504,,,,,,basketball,pitch,Atlanta,-84.38753221944918,33.71775865451347,South Atlanta,Q1 (lowest),32.0,42019.0
way/993285342,13121006500,,,,,,basketball,pitch,Atlanta,-84.41399307484116,33.71178391111389,Capitol View,Q2,26.7,64405.0
way/1013344603,13121011624,,,,,,basketball,pitch,Atlanta,-84.19995315,34.07118895,,Q4 (highest),13.2,241875.0
way/1019243858,13121011649,,,,,,basketball,pitch,Atlanta,-84.15964745,34.05096115,,Q4 (highest),16.9,169000.0
way/1021971198,13089022501,,,,,,basketball,pitch,Atlanta,-84.30161652518836,33.77256065960602,,Q4 (highest),16.8,125923.0
way/1027240786,13121012300,,,,,,basketball,pitch,Atlanta,-84.44187355000001,33.66140514999999,,Q1 (lowest),22.6,49855.0
way/1046308110,13121010527,,,,,,basketball,pitch,Atlanta,-84.55642524999998,33.58831215,,Q1 (lowest),27.0,42076.0
way/1046308112,13121010527,,,,,,basketball,pitch,Atlanta,-84.55634088058257,33.58850894693555,,Q1 (lowest),27.0,42076.0
way/1057972111,13121011635,,1,,,,basketball,pitch,Atlanta,-84.10791115,34.04785354999999,,Q4 (highest),16.0,182230.0
way/1062212554,13121009411,yes,,,,,basketball,pitch,Atlanta,-84.35211483499819,33.82999121273272,Pine Hills,Q3,16.2,97114.0
way/1074583271,13121010307,,,,,,basketball,pitch,Atlanta,-84.52422634570118,33.65415527903451,,Q4 (highest),23.0,130288.0
way/1074583272,13121010307,,,,,,basketball,pitch,Atlanta,-84.5243902,33.6541386,,Q4 (highest),23.0,130288.0
way/1083003370,13121010137,,2,,,,basketball,pitch,Atlanta,-84.37168002571313,33.89887853854737,,Q2,14.9,82070.0
way/1090914994,13121004200,,,,,,basketball,pitch,Atlanta,-84.41965351620661,33.738848326471555,West End,Q1 (lowest),38.2,26524.0
way/1091079838,13121002500,,,,,,basketball,pitch,Atlanta,-84.40800745275851,33.76113678995387,Vine City,Q1 (lowest),36.3,39081.0
way/1091079839,13121002500,,,,,,basketball,pitch,Atlanta,-84.40800612767801,33.76087447840904,Vine City,Q1 (lowest),36.3,39081.0
way/1091959045,13121007603,,,,,,basketball,pitch,Atlanta,-84.43719434176039,33.70112982031213,Fort McPherson,Q1 (lowest),39.8,19375.0
way/1098866733,13121010310,,,,,,basketball,pitch,Atlanta,-84.61780845683802,33.64551653424535,,Q3,18.8,101762.0
way/1099355640,13121010306,,2,,,,basketball,pitch,Atlanta,-84.59233509166805,33.68393627086879,,Q2,21.6,83929.0
way/1099355641,13121010306,,2,,,,basketball,pitch,Atlanta,-84.5923367750497,33.68378869582363,,Q2,21.6,83929.0
way/1104197926,13121008302,,,,,,basketball,pitch,Atlanta,-84.45073980108585,33.75771223400386,Dixie Hills,nan,42.9,
way/1105345180,13121011444,,,,,,basketball,pitch,Atlanta,-84.25192074999998,34.00726085000001,,Q4 (highest),14.8,179112.0
way/1118770362,13089021222,,,,,,basketball,pitch,Atlanta,-84.31300549239708,33.89314190978979,,Q3,17.1,89728.0
way/1161823873,13121010402,,,,,,basketball,pitch,Atlanta,-84.73383050000001,33.5253563,,Q2,25.6,75362.0
