GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_black,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031060900,Census Tract 609,Lake View,2,2.7620494406849883,10.379340608256223,86987.0,Q3,7241,3.5768540256870596,7.802789669935092,12.0,24.1,13.0,0.1926904680639447,499066,Chicago,Has court,41.9506903738558,-87.64047124084989
17031770601,Census Tract 7706.01,,0,0.0,0.0,84314.0,Q3,3557,1.0683159966263704,5.674615152429822,22.3,25.9,13.6,1.0687091986526578,2767944,Chicago,No court,42.029145227792604,-87.90874246490115
17031806103,Census Tract 8061.03,,0,0.0,0.0,110101.0,Q4 (highest),5282,2.290798939795532,2.5976488433826317,19.5,25.4,13.4,1.0466002159083363,2710682,Chicago,No court,42.05883351265514,-87.91181353994209
17031802610,Census Tract 8026.10,,0,0.0,0.0,136786.0,Q4 (highest),2021,1.3359722909450766,2.127659574468085,18.0,24.0,12.3,0.4946741065981773,1281200,Chicago,No court,42.097699959078184,-87.89548910166121
17031802609,Census Tract 8026.09,,0,0.0,0.0,69446.0,Q2,6769,0.5613827744127641,7.412398921832884,23.5,28.1,15.3,0.37607625981278675,974033,Chicago,No court,42.105360214250595,-87.89967100762738
17031804610,Census Tract 8046.10,,0,0.0,0.0,72346.0,Q2,2681,0.484893696381947,8.616187989556137,20.5,25.4,13.7,0.6321461721058167,1637251,Chicago,No court,42.0222277793261,-88.05260102050418
17031770201,Census Tract 7702.01,,0,0.0,0.0,90717.0,Q3,6125,4.587755102040816,3.4159960584660864,20.0,26.1,13.6,1.0857000109653017,2811950,Chicago,No court,41.997968204408515,-88.01736737999579
17031803100,Census Tract 8031,,0,0.0,0.0,150208.0,Q4 (highest),3551,0.5913827090960293,2.3943661971830985,14.3,25.1,12.8,0.6710965456210608,1738132,Chicago,No court,42.10039313611254,-87.9864133347628
17031310600,Census Tract 3106,Lower West Side,3,5.841121495327103,14.301661540500394,75604.0,Q2,5136,4.439252336448598,11.351246105919003,23.9,30.8,15.6,0.2097658367529116,543291,Chicago,Has court,41.85633306430807,-87.65956370300141
17031310700,Census Tract 3107,Lower West Side,0,0.0,0.0,72684.0,Q2,1448,3.867403314917127,17.196132596685082,27.2,33.4,16.1,0.061790247676823215,160036,Chicago,No court,41.85599034050741,-87.66490611817082
17031310800,Census Tract 3108,Lower West Side,0,0.0,0.0,72059.0,Q2,4294,0.5822077317186772,19.981369352585002,26.0,31.3,16.1,0.12848785399777915,332782,Chicago,No court,41.855933721307615,-87.66857374611118
17031020602,Census Tract 206.02,West Ridge,0,0.0,0.0,87804.0,Q3,5175,8.85024154589372,14.59783449342614,21.5,25.8,13.4,0.18997269485418466,492027,Chicago,No court,42.001315618722785,-87.69363728155903
17031310900,Census Tract 3109,Lower West Side,3,5.9171597633136095,16.02358385508179,76758.0,Q2,5070,5.996055226824457,25.877712031558186,30.1,34.5,16.7,0.18722403347042535,484908,Chicago,Has court,41.85577165360454,-87.67467409535566
17031510100,Census Tract 5101,South Deering,0,0.0,0.0,71276.0,Q2,3659,10.713309647444657,18.684645019262522,31.9,35.1,15.5,0.8292107917102318,2147646,Chicago,No court,41.713102870536055,-87.54989037857099
17031510200,Census Tract 5102,South Deering,1,3.1867431485022304,2.026680313565675,48917.0,Q1 (lowest),3138,67.49521988527725,20.395156150414277,34.2,41.8,17.5,0.4934177301207573,1277946,Chicago,Has court,41.714265432947386,-87.56004956750648
17031561100,Census Tract 5611,Garfield Ridge,2,3.466204506065858,3.918308190739285,107857.0,Q4 (highest),5770,2.045060658578856,1.4038128249566724,21.4,29.0,13.9,0.5104243726225759,1321993,Chicago,Has court,41.78886975988777,-87.77190984680213
17031240200,Census Tract 2402,Wicker Park,0,0.0,0.0,172019.0,Q4 (highest),1914,3.761755485893417,7.0669500531349625,14.1,25.1,14.3,0.06412693803986737,166088,Chicago,No court,41.9124416730476,-87.67018161625874
17031824105,Census Tract 8241.05,,0,0.0,0.0,107027.0,Q4 (highest),7101,1.4504999295873822,3.055907618645261,16.9,26.4,13.6,1.7022268056840417,4408747,Chicago,No court,41.637823178603895,-87.83749222446386
17031611800,Census Tract 6118,New City,0,0.0,0.0,50250.0,Q1 (lowest),1396,29.369627507163326,7.593123209169055,33.8,39.0,18.7,0.12656776788155003,327809,Chicago,No court,41.79764778873271,-87.6671137779296
17031815600,Census Tract 8156,,0,0.0,0.0,82063.0,Q3,5519,1.1777495923174488,3.6230558096980787,23.3,30.7,14.5,1.2594000435523254,3261831,Chicago,No court,41.84496814201844,-87.8240394454107
17031818000,Census Tract 8180,,0,0.0,0.0,53384.0,Q1 (lowest),4186,37.935977066411844,12.359281437125748,26.3,34.9,15.5,1.358746835892676,3519138,Chicago,No court,41.854359841184625,-87.85843998612519
17031812000,Census Tract 8120,,0,0.0,0.0,138945.0,Q4 (highest),5579,2.437712851765549,0.9527233507100487,14.4,25.2,11.8,1.1004120482411501,2850054,Chicago,No court,41.887672927838175,-87.82005952555964
17031829402,Census Tract 8294.02,,0,0.0,0.0,59461.0,Q2,3030,68.01980198019803,16.402640264026402,27.9,38.2,17.0,2.096957205979333,5431094,Chicago,No court,41.48186197118097,-87.66192164366858
