"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031802503","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","20.7",,,"17.9","23.3","6,412","5,235","POINT (-87.9537744 42.1316179)","17031802503","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031813702","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","27.2",,,"22.0","32.8","4,199","3,044","POINT (-87.7465073 41.8551811)","17031813702","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","IL","Illinois","Cook","17031","17031804506","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","30.2",,,"27.6","32.8","5,472","4,359","POINT (-88.1964874 42.0031424)","17031804506","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","IL","Illinois","Cook","17031","17031810900","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.6",,,"8.6","10.7","6,360","5,077","POINT (-87.8100724 41.9165283)","17031810900","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031750300","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","6.3",,,"4.7","8.1","2,470","1,859","POINT (-87.6861726 41.6953911)","17031750300","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","IL","Illinois","Cook","17031","17031823302","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","13.7",,,"12.2","15.3","5,739","4,555","POINT (-87.7233375 41.660773)","17031823302","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","IL","Illinois","Cook","17031","17031805701","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","20.2",,,"17.8","22.3","5,485","4,092","POINT (-87.8510299 42.0029705)","17031805701","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","IL","Illinois","Cook","17031","17031818100","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","2.7",,,"2.3","3.1","2,330","1,899","POINT (-87.8737524 41.8511914)","17031818100","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","IL","Illinois","Cook","17031","17031804810","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","10.6",,,"8.9","12.3","7,097","5,587","POINT (-88.0829772 42.0161512)","17031804810","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","IL","Illinois","Cook","17031","17031821700","BRFSS","Disability","Any disability among adults","%","Crude prevalence","24.3",,,"21.0","27.7","4,859","3,683","POINT (-87.7153549 41.7211743)","17031821700","DISABLT","DISABILITY","CrdPrv","Any Disability"
