"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","GA","Georgia","Fulton","13121","13121005700","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","4.8",,,"4.3","5.3","1,550","1,173","POINT (-84.4038231 33.732147)","13121005700","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
"2023","GA","Georgia","Fulton","13121","13121010134","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","38.1",,,"33.9","42.2","2,397","1,955","POINT (-84.3540078 33.9702706)","13121010134","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2023","GA","Georgia","Fulton","13121","13121000502","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.5",,,"2.2","2.9","1,959","1,517","POINT (-84.3810348 33.7998925)","13121000502","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","Fulton","13121","13121010004","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","21.2",,,"19.0","23.6","1,712","1,219","POINT (-84.3727028 33.873213)","13121010004","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis"
"2023","GA","Georgia","Fulton","13121","13121006500","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.1",,,"30.6","40.0","3,697","3,002","POINT (-84.4101454 33.7141348)","13121006500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","GA","Georgia","Fulton","13121","13121001102","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","6.9",,,"6.0","8.1","3,997","3,822","POINT (-84.3831457 33.78302)","13121001102","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","Fulton","13121","13121003800","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","3.7",,,"3.0","4.4","3,456","3,350","POINT (-84.412023 33.7508286)","13121003800","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","GA","Georgia","Fulton","13121","13121010130","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","3.7",,,"3.0","4.4","4,524","3,721","POINT (-84.3552786 33.9417959)","13121010130","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat"
"2023","GA","Georgia","Fulton","13121","13121010216","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","7.5",,,"5.5","10.0","3,577","2,901","POINT (-84.3766382 33.949976)","13121010216","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","GA","Georgia","Fulton","13121","13121007711","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","31.9",,,"27.5","36.4","2,550","2,013","POINT (-84.5072375 33.6815319)","13121007711","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","GA","Georgia","DeKalb","13089","13089023447","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","11.6",,,"8.9","14.3","2,643","2,261","POINT (-84.2184847 33.688097)","13089023447","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","GA","Georgia","Fulton","13121","13121001901","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","48.7",,,"43.7","53.6","2,227","2,120","POINT (-84.3912905 33.7681004)","13121001901","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2022","GA","Georgia","Fulton","13121","13121007710","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","82.2",,,"77.0","86.8","2,891","2,217","POINT (-84.5225112 33.6716245)","13121007710","PREVENT","MAMMOUSE","CrdPrv","Mammography"
"2023","GA","Georgia","Fulton","13121","13121004800","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","20.7",,,"17.9","23.6","1,175","961","POINT (-84.383995 33.7444351)","13121004800","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","Fulton","13121","13121009604","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","6.2",,,"4.9","7.8","4,112","3,555","POINT (-84.3764452 33.8326015)","13121009604","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","GA","Georgia","Fulton","13121","13121008702","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","19.6",,,"16.5","22.7","2,287","1,789","POINT (-84.4439051 33.7883252)","13121008702","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","GA","Georgia","Fulton","13121","13121001901","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","32.3",,,"26.8","36.8","2,227","2,120","POINT (-84.3912905 33.7681004)","13121001901","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","GA","Georgia","Fulton","13121","13121007805","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.3",,,"15.3","19.6","3,780","2,939","POINT (-84.5381827 33.7538409)","13121007805","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","GA","Georgia","Fulton","13121","13121008104","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","8.1",,,"7.2","9.0","3,413","2,642","POINT (-84.4532032 33.7442689)","13121008104","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","GA","Georgia","Fulton","13121","13121002801","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","3.4",,,"2.9","4.0","4,441","4,338","POINT (-84.3785002 33.7596028)","13121002801","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","GA","Georgia","Fulton","13121","13121004100","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","11.9",,,"10.2","13.9","1,949","1,601","POINT (-84.4280836 33.740885)","13121004100","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","Fulton","13121","13121001702","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","2.9",,,"2.6","3.2","3,531","3,373","POINT (-84.364279 33.7657765)","13121001702","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
